user_id,onehot_feat1,onehot_feat2,search_active_level,reco_active_level
660,4,1,0,1
1043,5,2,4,2
853,5,2,4,2
1023,5,1,4,1
1187,5,1,5,1
133,7,1,0,2
221,4,1,0,2
1778,4,1,3,3
542,5,2,0,1
1138,4,2,6,3
916,5,2,4,2
282,6,1,3,2
1324,3,1,0,2
807,1,2,0,1
806,7,1,3,2
41,6,1,3,1
1709,4,1,5,2
522,5,2,4,2
478,2,1,0,3
1450,7,1,0,2
1202,3,1,3,1
1039,5,2,0,2
365,2,2,4,3
567,1,1,4,2
310,4,2,3,3
924,4,1,0,2
1318,5,2,4,2
1392,5,1,3,3
1508,5,1,0,2
240,5,2,2,2
1013,3,2,3,1
1071,2,1,0,0
438,2,1,0,1
323,4,2,3,3
661,5,2,0,2
74,2,2,0,3
1787,7,1,0,2
575,5,1,3,2
385,4,2,3,2
843,3,2,4,2
1339,1,2,0,2
155,2,2,3,0
894,1,2,0,1
741,7,1,4,0
970,5,1,4,2
1501,3,2,3,0
620,2,1,3,1
497,5,1,4,2
1660,1,2,0,2
1689,1,1,3,2
1223,7,1,4,1
228,2,1,0,0
1601,2,1,0,2
1300,1,1,0,2
243,7,1,5,2
957,1,2,4,2
917,5,1,0,1
67,2,2,4,2
840,2,2,3,0
960,4,1,0,2
1402,2,2,5,3
981,2,2,0,1
675,5,2,0,0
1596,7,2,0,3
1110,2,1,0,2
1042,5,2,4,2
727,3,2,5,2
1231,3,1,0,3
1181,6,2,0,2
308,1,2,5,2
18,7,2,3,3
765,2,1,0,1
1372,1,1,3,1
141,2,1,0,2
8,1,2,0,1
362,3,1,3,2
1131,7,2,4,1
680,2,1,3,0
777,6,1,3,0
235,2,2,4,2
1410,2,2,3,3
1755,2,1,0,3
611,2,1,3,1
1260,1,2,3,1
805,0,0,0,2
1654,5,1,0,2
485,7,1,0,1
830,5,1,0,2
106,3,1,0,1
376,3,2,0,1
690,2,1,4,2
884,2,2,3,2
292,1,1,5,1
821,1,2,4,2
1082,4,2,3,2
822,5,1,0,1
93,3,1,0,2
279,2,2,0,2
1563,2,2,3,1
1002,1,2,0,1
1359,2,2,4,2
1204,2,2,3,1
737,6,2,0,0
1506,2,1,0,1
1349,2,2,0,1
1672,2,1,0,1
871,2,2,0,2
1512,4,2,0,2
231,5,1,0,2
596,4,2,0,3
446,2,2,0,2
33,2,1,4,0
1272,1,2,0,2
1762,1,2,3,2
1429,2,2,5,2
1192,2,1,0,0
1137,2,2,0,1
77,6,1,0,0
1513,5,1,0,1
532,3,2,3,2
1411,2,1,0,1
1737,2,2,0,1
89,2,1,3,2
1439,3,2,6,2
1003,3,1,3,0
709,3,1,0,1
658,4,1,5,3
1682,2,2,0,1
167,3,2,0,1
1341,2,2,3,0
1761,2,1,4,1
437,5,1,3,1
118,2,2,3,3
742,5,1,4,3
173,7,1,4,3
1222,5,2,0,2
410,7,1,0,1
653,6,1,0,0
397,4,2,3,1
1136,2,1,0,0
885,6,2,4,2
368,5,1,3,3
2,2,2,2,1
241,4,2,4,2
799,2,2,0,2
798,5,2,3,2
1608,2,2,0,2
