video_id,item_type,upload_type,first_level_category_name,second_level_category_name,third_level_category_name,fourth_level_category_name
7096,0,14,25,131,284,32
13118,0,28,17,143,284,32
32691,0,28,33,206,284,32
18659,0,28,17,143,284,32
60461,0,24,33,245,284,32
57606,0,7,21,48,284,32
27258,0,24,35,99,284,32
39616,0,7,21,78,257,14
19105,0,29,12,219,291,32
57519,0,29,21,48,284,32
51991,0,29,22,62,284,32
35702,0,29,19,206,284,32
6754,0,14,22,189,284,32
40202,0,14,9,200,284,32
6886,0,14,13,206,284,32
42159,0,14,17,143,284,32
51985,0,29,36,205,159,32
64822,0,29,13,128,284,32
62693,0,29,23,246,284,32
11214,0,14,13,127,284,32
54513,0,14,24,206,284,32
7581,0,29,30,71,284,32
65776,0,14,17,143,284,32
39617,0,7,24,206,284,32
55005,0,14,24,206,284,32
3237,0,24,12,121,284,32
49290,0,7,1,54,384,32
64058,0,29,13,127,284,32
28376,0,14,13,127,284,32
6856,0,24,17,143,284,32
3602,0,14,13,127,284,32
48067,0,14,7,104,284,32
6928,0,29,11,257,284,32
30857,0,29,27,206,284,32
26441,0,14,2,243,186,32
64075,0,14,21,48,284,32
26439,0,29,9,107,284,32
58502,0,14,13,127,284,32
40137,0,24,21,65,284,32
27791,0,14,13,127,284,32
65773,0,14,21,166,156,32
24692,0,14,32,187,353,32
51983,0,29,10,291,284,32
12679,0,29,21,65,89,32
64088,0,29,1,54,384,32
43090,0,29,9,107,284,32
43083,0,14,9,200,204,32
9734,0,14,21,65,302,32
7591,0,14,29,206,284,32
8821,0,24,13,127,284,32
28221,0,14,1,11,284,32
6819,0,14,1,12,284,32
26453,0,29,24,206,284,32
64061,0,14,12,219,163,32
27792,0,7,9,107,284,32
12714,0,29,21,166,156,32
64832,0,14,9,107,284,32
52075,0,14,13,127,284,32
277,0,14,21,206,284,32
43242,0,14,28,206,284,32
22455,0,14,13,127,284,32
44014,0,14,13,127,284,32
12710,0,14,1,54,384,32
6979,0,14,13,127,284,32
20576,0,14,24,206,284,32
7594,0,29,2,243,186,32
49306,0,14,9,200,284,32
28387,0,14,22,191,284,32
18992,0,7,21,48,244,32
30858,0,14,13,127,284,32
46337,0,29,24,206,284,32
24694,0,24,25,131,387,32
55011,0,29,19,206,284,32
47841,0,14,9,107,284,32
63572,0,14,13,127,284,32
35703,0,14,9,200,284,32
